timestamp,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,count
2016-03-29 04:00:00,7.0,3.5,81.0,22.0,4.0,no,no,spring,44
2016-08-17 18:00:00,22.5,22.5,48.5,18.0,1.0,no,no,summer,5038
2015-01-05 16:00:00,10.0,8.5,73.5,13.0,3.0,no,,winter,1192
2015-12-20 11:00:00,13.5,13.5,77.0,20.5,7.0,no,yes,winter,909
2015-08-29 07:00:00,16.0,,83.0,6.5,1.0,no,yes,summer,276
,25.0,25.0,36.0,26.0,1.0,no,yes,spring,3728
2015-11-07 13:00:00,17.0,17.0,85.5,34.0,7.0,no,yes,fall,824
2015-12-19 21:00:00,15.0,15.0,68.0,19.5,1.0,no,yes,winter,527
2015-10-17 08:00:00,11.0,11.0,77.0,13.0,3.0,no,yes,fall,520
2016-09-18 20:00:00,19.0,19.0,68.0,5.0,3.0,no,yes,fall,960
2016-05-22 18:00:00,14.0,14.0,79.5,13.0,7.0,no,yes,spring,1649
2015-06-05 23:00:00,14.0,,57.0,26.0,1.0,no,,summer,661
2016-08-24 07:00:00,21.5,,71.0,2.0,1.0,no,no,summer,2508
2016-03-18 14:00:00,8.0,5.0,76.0,15.0,,no,no,spring,1048
2016-05-15 08:00:00,11.5,11.5,60.0,10.0,1.0,no,yes,spring,502
2015-02-20 09:00:00,7.0,7.0,81.0,2.0,2.0,no,no,winter,1631
2016-04-24 09:00:00,6.0,3.0,76.0,14.0,3.0,no,yes,spring,642
2016-07-05 06:00:00,16.0,16.0,77.0,24.0,,no,,summer,823
2015-07-28 12:00:00,19.0,19.0,49.0,32.5,3.0,,no,summer,1541
2016-03-18 02:00:00,4.0,1.5,87.0,9.0,3.0,no,no,spring,67
2015-07-08 14:00:00,19.5,19.5,64.0,26.0,7.0,no,no,summer,1451
2015-03-20 21:00:00,9.0,7.0,71.0,11.0,1.0,,no,spring,532
2015-08-19 08:00:00,17.5,17.5,70.5,14.0,2.0,no,no,summer,4502
2016-01-08 14:00:00,9.5,7.0,71.5,17.0,7.0,no,no,winter,790
2016-03-19 06:00:00,6.0,4.0,81.0,11.0,3.0,no,yes,spring,85
2015-05-25 02:00:00,12.0,,63.0,11.0,4.0,yes,no,spring,221
2015-11-20 01:00:00,10.0,8.0,82.0,17.0,2.0,no,no,fall,149
2016-10-27 13:00:00,15.0,15.0,63.0,21.0,,no,no,fall,1596
2015-11-07 08:00:00,17.0,17.0,83.0,28.0,2.0,no,yes,fall,408
2016-05-01 16:00:00,15.5,15.5,42.0,22.0,1.0,no,yes,spring,3205
2016-05-16 13:00:00,16.5,16.5,50.5,6.0,,no,,spring,1535
2016-09-09 16:00:00,21.5,,67.0,26.0,3.0,no,no,fall,2147
2015-10-03 11:00:00,12.0,12.0,88.0,6.5,3.0,no,,fall,1927
2016-10-27 04:00:00,10.5,9.5,94.0,17.0,,no,no,fall,76
2016-07-16 09:00:00,20.0,,73.0,20.0,3.0,no,yes,summer,1080
2015-08-25 13:00:00,15.5,15.5,85.5,16.5,7.0,no,no,summer,314
2015-04-29 21:00:00,9.0,7.0,71.0,15.0,,no,no,spring,782
2015-11-14 13:00:00,10.0,8.0,88.0,15.0,7.0,,yes,fall,506
2016-09-24 11:00:00,21.0,21.0,53.0,22.0,,,yes,fall,2397
2015-10-09 08:00:00,9.5,9.5,91.0,4.0,1.0,no,no,fall,4360
2016-04-17 19:00:00,11.0,11.0,38.0,8.0,1.0,no,yes,spring,1369
2016-08-20 02:00:00,17.0,17.0,77.0,17.0,2.0,no,yes,summer,287
2015-12-16 08:00:00,14.0,14.0,82.0,26.0,3.0,no,no,winter,3771
2016-05-20 09:00:00,16.0,16.0,63.0,25.0,2.0,no,no,spring,2279
2015-12-06 04:00:00,13.0,,79.5,30.5,7.0,no,yes,winter,113
2016-02-21 10:00:00,13.0,13.0,82.0,31.0,,no,,winter,822
2015-10-29 05:00:00,11.0,11.0,94.0,7.0,2.0,no,no,fall,112
2015-06-08 18:00:00,14.0,14.0,67.0,22.0,3.0,,no,summer,3492
2016-04-12 17:00:00,16.0,,41.0,13.0,1.0,no,no,spring,3706
2015-06-24 20:00:00,20.0,20.0,49.0,19.5,,no,no,summer,1762
2015-06-09 18:00:00,14.0,14.0,48.0,23.0,2.0,no,no,summer,3823
2015-07-23 22:00:00,19.0,19.0,54.0,11.0,2.0,,no,summer,1014
2015-04-08 15:00:00,16.0,16.0,61.0,25.0,1.0,no,no,spring,1516
2015-08-20 15:00:00,21.5,21.5,69.0,19.0,3.0,no,no,summer,1628
2016-09-24 09:00:00,19.0,19.0,64.0,17.0,1.0,no,yes,fall,1275
2016-11-25 21:00:00,7.0,4.0,81.0,16.0,1.0,no,no,fall,548
2016-07-16 12:00:00,24.5,24.5,59.0,18.5,2.0,no,yes,summer,2792
2016-05-09 05:00:00,14.0,,74.5,10.0,,,no,spring,138
2015-07-19 08:00:00,17.0,17.0,63.5,18.5,1.0,,yes,summer,416
2015-01-21 14:00:00,3.0,-1.0,87.0,17.0,4.0,,no,winter,701
2015-10-19 08:00:00,12.0,12.0,88.0,6.5,3.0,,no,fall,4275
2015-12-10 21:00:00,11.0,11.0,88.0,13.0,7.0,,no,winter,274
2015-05-02 23:00:00,10.0,7.0,91.0,20.0,,no,yes,spring,272
2015-08-10 01:00:00,18.0,18.0,83.0,19.5,3.0,no,no,summer,171
2015-02-12 16:00:00,5.0,2.0,66.0,12.0,4.0,no,no,winter,1234
2015-08-03 00:00:00,18.0,18.0,64.0,20.0,1.0,no,no,summer,376
2016-05-15 02:00:00,8.0,7.0,68.5,6.5,1.0,,yes,spring,329
2015-02-24 22:00:00,6.0,2.0,73.5,23.0,1.0,no,no,winter,434
